# wavelength,transmittance
4.100000000000000000e+02,7.750065750017682935e-03
4.110000000000000000e+02,1.279481071917261577e-02
4.120000000000000000e+02,2.314172977525117206e-02
4.130000000000000000e+02,4.518479796228851153e-02
4.140000000000000000e+02,1.029811950728133640e-01
4.150000000000000000e+02,2.607817649373078139e-01
4.160000000000000000e+02,7.413209834170370049e-01
4.170000000000000000e+02,2.479456739060908355e+00
4.180000000000000000e+02,8.908979449953442042e+00
4.190000000000000000e+02,2.808799177986626461e+01
4.200000000000000000e+02,5.183542441605786166e+01
4.210000000000000000e+02,5.946876414442212422e+01
4.220000000000000000e+02,5.981207766124139624e+01
4.230000000000000000e+02,5.997485204204354403e+01
4.240000000000000000e+02,6.018285726515713918e+01
4.250000000000000000e+02,6.053173593272709496e+01
4.260000000000000000e+02,6.107714185639467530e+01
4.270000000000000000e+02,6.135399075718584072e+01
4.280000000000000000e+02,6.134295559678264453e+01
4.290000000000000000e+02,6.143261940569227164e+01
4.300000000000000000e+02,6.134534228065608374e+01
4.310000000000000000e+02,6.096440703425614061e+01
4.320000000000000000e+02,6.081522204155338329e+01
4.330000000000000000e+02,6.080745371277384237e+01
4.340000000000000000e+02,6.141841269632573841e+01
4.350000000000000000e+02,6.230144323242939919e+01
4.360000000000000000e+02,6.284896617990607837e+01
4.370000000000000000e+02,6.129689581403589926e+01
4.380000000000000000e+02,5.334694117012585224e+01
4.390000000000000000e+02,3.508799690806768012e+01
4.400000000000000000e+02,1.656758843335689235e+01
4.410000000000000000e+02,6.490840144988967886e+00
4.420000000000000000e+02,2.420892162406381054e+00
4.430000000000000000e+02,9.689743657277506417e-01
4.440000000000000000e+02,4.240437340831510471e-01
4.450000000000000000e+02,2.075900534847815726e-01
4.460000000000000000e+02,1.072959240067531544e-01
4.470000000000000000e+02,6.107313559245833995e-02
4.480000000000000000e+02,3.701510615441398755e-02
4.490000000000000000e+02,2.333417837507599860e-02
4.500000000000000000e+02,1.487413380308847018e-02
4.510000000000000000e+02,9.651652910042321162e-03
4.520000000000000000e+02,6.228474858143834107e-03
4.530000000000000000e+02,4.251655194572422428e-03
4.540000000000000000e+02,3.471086818730981412e-03
