# wavelength,transmittance
3.600000000000000000e+02,2.261711859655713249e-05
3.610000000000000000e+02,3.775018091617820013e-05
3.620000000000000000e+02,5.595438825036116163e-05
3.630000000000000000e+02,9.144542761515743825e-05
3.640000000000000000e+02,1.739695972892801022e-04
3.650000000000000000e+02,4.089209727904714485e-04
3.660000000000000000e+02,1.173050340425700350e-03
3.670000000000000000e+02,4.669063872894031568e-03
3.680000000000000000e+02,2.716445567577539799e-02
3.690000000000000000e+02,1.342381059482235517e-01
3.700000000000000000e+02,2.662408445183856442e-01
3.710000000000000000e+02,2.816377106157644805e-01
3.720000000000000000e+02,3.020772551231644676e-01
3.730000000000000000e+02,3.246091677628087924e-01
3.740000000000000000e+02,3.281126912056147593e-01
3.750000000000000000e+02,3.195043248078050513e-01
3.760000000000000000e+02,3.357513406273162637e-01
3.770000000000000000e+02,3.527914665607806421e-01
3.780000000000000000e+02,3.586245886076710465e-01
3.790000000000000000e+02,3.575931437428789827e-01
3.800000000000000000e+02,3.620215764526135138e-01
3.810000000000000000e+02,3.763694435991141174e-01
3.820000000000000000e+02,3.917503462199219411e-01
3.830000000000000000e+02,3.870596131068342327e-01
3.840000000000000000e+02,2.953568959494662360e-01
3.850000000000000000e+02,1.318040995671294902e-01
3.860000000000000000e+02,3.678739976231758940e-02
3.870000000000000000e+02,9.905862735777351893e-03
3.880000000000000000e+02,3.242930966119983265e-03
3.890000000000000000e+02,1.292269383115368393e-03
3.900000000000000000e+02,5.802294418471542732e-04
3.910000000000000000e+02,2.922384567270976054e-04
3.920000000000000000e+02,1.609827753453481987e-04
3.930000000000000000e+02,9.475183620825357517e-05
3.940000000000000000e+02,5.862030357966739049e-05
3.950000000000000000e+02,3.898863174823442070e-05
3.960000000000000000e+02,2.651116342299928886e-05
3.970000000000000000e+02,1.901374013774182126e-05
3.980000000000000000e+02,1.571002880936753367e-05
3.990000000000000000e+02,1.246003219818451029e-05
