# wavelength,transmittance
8.500000000000000000e+02,2.129996222067492562e-01
8.510000000000000000e+02,1.864199775574743312e-01
8.520000000000000000e+02,1.619807122906083419e-01
8.530000000000000000e+02,1.398397309256012022e-01
8.540000000000000000e+02,1.197627227406615341e-01
8.550000000000000000e+02,1.018265001850394008e-01
8.560000000000000000e+02,8.599102206660479142e-02
8.570000000000000000e+02,7.209430973901626016e-02
8.580000000000000000e+02,6.006637464423113248e-02
8.590000000000000000e+02,4.972631132501575957e-02
8.600000000000000000e+02,4.096467980452901669e-02
8.610000000000000000e+02,3.364694967276113391e-02
8.620000000000000000e+02,2.751501671065932977e-02
8.630000000000000000e+02,2.233101445387187384e-02
8.640000000000000000e+02,1.803249133178410832e-02
8.650000000000000000e+02,1.453030405707300167e-02
8.660000000000000000e+02,1.169671353291814458e-02
8.670000000000000000e+02,9.390017700546770402e-03
8.680000000000000000e+02,7.554765554240980112e-03
8.690000000000000000e+02,6.074452656064720929e-03
8.700000000000000000e+02,4.883931059569816303e-03
8.710000000000000000e+02,3.932483104224549636e-03
8.720000000000000000e+02,3.176115889960336083e-03
8.730000000000000000e+02,2.573740805174587736e-03
8.740000000000000000e+02,2.099836877499846113e-03
8.750000000000000000e+02,1.720963689874367968e-03
8.760000000000000000e+02,1.418178206512039647e-03
8.770000000000000000e+02,1.181308520097811227e-03
8.780000000000000000e+02,9.895926529176878733e-04
8.790000000000000000e+02,8.379723209290333274e-04
8.800000000000000000e+02,7.196260347515671951e-04
8.810000000000000000e+02,6.326927018730174081e-04
8.820000000000000000e+02,5.602049153488674682e-04
8.830000000000000000e+02,5.004423597513549303e-04
8.840000000000000000e+02,4.468228756541001590e-04
8.850000000000000000e+02,4.150410472800664173e-04
8.860000000000000000e+02,3.872604155411332977e-04
8.870000000000000000e+02,3.646021376279584580e-04
8.880000000000000000e+02,3.458889701420774366e-04
8.890000000000000000e+02,3.261424089736578592e-04
8.900000000000000000e+02,3.269235012425592457e-04
8.910000000000000000e+02,3.182601461555489863e-04
8.920000000000000000e+02,3.102830880042592183e-04
8.930000000000000000e+02,3.039109918660350064e-04
8.940000000000000000e+02,2.964686493269286325e-04
8.950000000000000000e+02,2.971999474353140660e-04
8.960000000000000000e+02,2.951032135731887127e-04
8.970000000000000000e+02,2.911869949833537107e-04
8.980000000000000000e+02,2.778057732331933494e-04
8.990000000000000000e+02,2.684471348530907166e-04
