# wavelength,transmittance
8.500000000000000000e+02,5.746903361238496766e-01
8.510000000000000000e+02,5.792310662793658249e-01
8.520000000000000000e+02,5.829692329428171060e-01
8.530000000000000000e+02,5.859414523579811185e-01
8.540000000000000000e+02,5.881593979865816779e-01
8.550000000000000000e+02,5.905129578512122723e-01
8.560000000000000000e+02,5.921280275428112416e-01
8.570000000000000000e+02,5.936569910061656463e-01
8.580000000000000000e+02,5.947267450947890666e-01
8.590000000000000000e+02,5.955373500957927835e-01
8.600000000000000000e+02,5.960733571072013293e-01
8.610000000000000000e+02,5.964475998414542346e-01
8.620000000000000000e+02,5.962802631493424599e-01
8.630000000000000000e+02,5.956690880121441323e-01
8.640000000000000000e+02,5.950989417707821527e-01
8.650000000000000000e+02,5.942766929009865029e-01
8.660000000000000000e+02,5.932279893610307164e-01
8.670000000000000000e+02,5.923338164422744523e-01
8.680000000000000000e+02,5.913913138613431375e-01
8.690000000000000000e+02,5.900109147036899371e-01
8.700000000000000000e+02,5.885280557268329771e-01
8.710000000000000000e+02,5.870457209410362420e-01
8.720000000000000000e+02,5.855433374195422314e-01
8.730000000000000000e+02,5.837397633007103126e-01
8.740000000000000000e+02,5.817689479867130808e-01
8.750000000000000000e+02,5.799201753611897825e-01
8.760000000000000000e+02,5.778196680969535093e-01
8.770000000000000000e+02,5.759091027277241093e-01
8.780000000000000000e+02,5.709319734981174177e-01
8.790000000000000000e+02,5.659111540245017613e-01
8.800000000000000000e+02,5.610969402775796144e-01
8.810000000000000000e+02,5.572370730800126903e-01
8.820000000000000000e+02,5.556190631112930545e-01
8.830000000000000000e+02,5.542985191143348089e-01
8.840000000000000000e+02,5.479315179791001134e-01
8.850000000000000000e+02,5.454746343845504608e-01
8.860000000000000000e+02,5.418449112078184138e-01
8.870000000000000000e+02,5.405591165655645458e-01
8.880000000000000000e+02,5.386332653704012374e-01
8.890000000000000000e+02,5.332791361921094264e-01
8.900000000000000000e+02,5.297520497182708343e-01
8.910000000000000000e+02,5.274057333584866170e-01
8.920000000000000000e+02,5.243528787371404265e-01
8.930000000000000000e+02,5.192585755604397502e-01
8.940000000000000000e+02,5.155093358806021042e-01
8.950000000000000000e+02,5.075461250100136157e-01
8.960000000000000000e+02,4.965878305178724750e-01
8.970000000000000000e+02,4.876732563618844662e-01
8.980000000000000000e+02,4.875397325566716011e-01
8.990000000000000000e+02,4.534324666421172267e-01
9.000000000000000000e+02,4.892905660002052071e-01
9.010000000000000000e+02,4.695062614280931523e-01
9.020000000000000000e+02,4.759481149208449335e-01
9.030000000000000000e+02,4.665578784800423207e-01
9.040000000000000000e+02,4.821202769343360672e-01
9.050000000000000000e+02,4.786216679523697115e-01
9.060000000000000000e+02,4.698283242045065977e-01
9.070000000000000000e+02,4.573632953456973071e-01
9.080000000000000000e+02,4.554612118368343010e-01
9.090000000000000000e+02,4.409517620656744352e-01
9.100000000000000000e+02,4.491866509059028734e-01
9.110000000000000000e+02,4.469611048678733822e-01
9.120000000000000000e+02,4.351513386263862193e-01
9.130000000000000000e+02,4.380389347986735071e-01
9.140000000000000000e+02,4.179573725382900728e-01
9.150000000000000000e+02,4.354919860360708661e-01
9.160000000000000000e+02,4.184566960784839029e-01
9.170000000000000000e+02,4.290414972978225383e-01
9.180000000000000000e+02,4.174441355497691131e-01
9.190000000000000000e+02,4.272729395641158834e-01
9.200000000000000000e+02,4.148084134771376497e-01
9.210000000000000000e+02,4.189404798456347612e-01
9.220000000000000000e+02,4.117935006437739576e-01
9.230000000000000000e+02,4.114106553159003199e-01
9.240000000000000000e+02,4.048410160855734352e-01
9.250000000000000000e+02,4.015280821255628463e-01
9.260000000000000000e+02,3.991244737073275650e-01
9.270000000000000000e+02,3.958107475886123994e-01
9.280000000000000000e+02,3.796376273256558131e-01
9.290000000000000000e+02,3.761627589830083829e-01
9.300000000000000000e+02,3.589487408384708367e-01
9.310000000000000000e+02,3.206214036578035054e-01
9.320000000000000000e+02,2.721970564935353720e-01
9.330000000000000000e+02,2.926852058859593653e-01
9.340000000000000000e+02,2.753018104846580716e-01
9.350000000000000000e+02,2.885093827444829562e-01
