# wavelength,transmittance
6.400000000000000000e+02,1.108356072974687285e-03
6.410000000000000000e+02,9.369405269783831697e-04
6.420000000000000000e+02,1.186643748868405684e-03
6.430000000000000000e+02,1.582309860910666817e-03
6.440000000000000000e+02,2.214156749484596891e-03
6.450000000000000000e+02,3.473936580837423248e-03
6.460000000000000000e+02,5.168772033789793309e-03
6.470000000000000000e+02,8.360283734510120732e-03
6.480000000000000000e+02,1.462917221501417245e-02
6.490000000000000000e+02,2.930737053424499819e-02
6.500000000000000000e+02,7.995334883676250004e-02
6.510000000000000000e+02,3.077507370748399640e-01
6.520000000000000000e+02,1.856192691334197509e+00
6.530000000000000000e+02,1.288502214521634670e+01
6.540000000000000000e+02,3.745932244001793521e+01
6.550000000000000000e+02,5.963311707144575280e+01
6.560000000000000000e+02,7.341670929581495386e+01
6.570000000000000000e+02,7.504578424516066093e+01
6.580000000000000000e+02,7.513282994702056783e+01
6.590000000000000000e+02,7.526982232896402536e+01
6.600000000000000000e+02,7.543719981359062388e+01
6.610000000000000000e+02,7.544524570060680446e+01
6.620000000000000000e+02,7.534692966599259023e+01
6.630000000000000000e+02,7.510757323387737472e+01
6.640000000000000000e+02,7.513122074236775916e+01
6.650000000000000000e+02,7.520513232938779424e+01
6.660000000000000000e+02,7.487433991299606362e+01
6.670000000000000000e+02,7.311158053313654648e+01
6.680000000000000000e+02,5.515675571136629429e+01
6.690000000000000000e+02,3.190098327167119407e+01
6.700000000000000000e+02,9.153254283465162899e+00
6.710000000000000000e+02,1.401752945012490370e+00
6.720000000000000000e+02,3.091774931771866797e-01
6.730000000000000000e+02,1.191191867453371411e-01
6.740000000000000000e+02,6.177091008933761201e-02
6.750000000000000000e+02,3.652321900553436029e-02
6.760000000000000000e+02,2.300445891546458455e-02
6.770000000000000000e+02,1.398809644881705665e-02
6.780000000000000000e+02,8.385104415745367815e-03
6.790000000000000000e+02,4.946508937614742425e-03
