col0 col1
301.34 2.472836645497779e-07
302.34 2.946767329466609e-07
303.34 4.3017277113814635e-07
304.34 9.860654869001408e-07
305.34 2.392798100771418e-06
306.34 3.6436547514848766e-06
307.34 5.92281765067895e-06
308.34 7.97657831269936e-06
309.34 1.0447338460923639e-05
310.34 1.322119405524836e-05
311.34 1.5788250315806682e-05
312.34 3.2619062782571765e-05
313.34 8.891296488331508e-05
314.34 0.00013250575511363326
315.34 0.00014270609536161085
316.34 0.00015996930985877895
317.34 0.00023602806427187658
318.34 0.0005677154754270418
319.34 0.0021314523773627117
320.34 0.007866061911961514
321.34 0.02241468706748749
322.34 0.041354397309792436
323.34 0.06496109918664862
324.34 0.0796322498050567
325.34 0.0845448959076587
326.34 0.09199451704853905
327.34 0.09616935363885845
328.34 0.09995695821326551
329.34 0.10766271892539966
330.34 0.11017065314522431
331.34 0.11170216930374322
332.34 0.11790367476606474
333.34 0.12328451369761559
334.34 0.12714634244235812
335.34 0.13175007757197826
336.34 0.1345644106295435
337.34 0.13642199640840372
338.34 0.14180511291817582
339.34 0.14546654182720548
340.34 0.14873891396644692
341.34 0.1540106757789341
342.34 0.1583244154543137
343.34 0.16101424427045907
344.34 0.16183930838401014
345.34 0.1654342004805871
346.34 0.1713786775725374
347.34 0.17775674236079544
348.34 0.18325210660602304
349.34 0.18824747370800152
350.34 0.19243834365645102
351.34 0.19630624392023466
352.34 0.20055842394869014
353.34 0.20470761224348494
354.34 0.2076903730409145
355.34 0.2102944478774161
356.34 0.21298582819370426
357.34 0.21825949354887547
358.34 0.22531713924350408
359.34 0.23146575007645084
360.34 0.2356374499551203
361.34 0.23955452814730696
362.34 0.24272898141461124
363.34 0.24741170348368535
364.34 0.25478101433815625
365.34 0.2610206844812367
366.34 0.2654778175858345
367.34 0.2735240542980456
368.34 0.2860986376375212
369.34 0.28368023435251666
370.34 0.2737169120035017
371.34 0.25025247419730084
372.34 0.2113478540023268
373.34 0.16558477701301227
374.34 0.12127916132803142
375.34 0.08458472595769544
376.34 0.05599072588628199
377.34 0.03671804914590243
378.34 0.024409174875092022
379.34 0.016612185241482974
380.34 0.011605522857001045
381.34 0.008355545566161875
382.34 0.006080370717698151
383.34 0.0044388364217515085
384.34 0.003245934360415776
385.34 0.0023320793611041808
386.34 0.0016125735444604268
387.34 0.0010641372991428077
388.34 0.0006713700653356604
389.34 0.0003966183660757223
390.34 0.00021355358178206966
391.34 0.00010828020314794616
392.34 5.29406883039815e-05
393.34 2.6108236332150584e-05
394.34 1.5206795277446964e-05
395.34 1.098695811912143e-05
396.34 9.208246031904311e-06
397.34 8.782811085710515e-06
398.34 7.549097330515437e-06
399.34 6.105551518930047e-06
400.34 6.359899727670119e-06
401.34 7.457951189713274e-06
402.34 8.448995849018868e-06
403.34 7.921076685938264e-06
404.34 7.760201226062933e-06
405.34 6.807734747427688e-06
406.34 6.4617707423295675e-06
407.34 6.536418619984384e-06
408.34 7.152140844827158e-06
409.34 7.250484491182781e-06
410.34 7.657898398462565e-06
411.34 8.536423153660257e-06
412.34 8.412258098692345e-06
413.34 6.895650824076166e-06
414.34 8.652217531274221e-06
415.34 8.101624274688778e-06
416.34 7.82179744491531e-06
417.34 7.814608855736023e-06
418.34 7.77289896193541e-06
419.34 7.430602362917513e-06
420.34 8.013409428987061e-06
421.34 7.334368751809946e-06
422.34 8.083542944412171e-06
423.34 8.691665369602572e-06
424.34 7.972762911685378e-06
425.34 7.497216712791091e-06
426.34 8.059776463118447e-06
427.34 7.971337925162205e-06
428.34 7.92881584289027e-06
429.34 7.820007313474279e-06
430.34 8.861236425206714e-06
431.34 9.172116241510632e-06
432.34 8.132233026913098e-06
433.34 8.49401131797141e-06
434.34 8.38988553266935e-06
435.34 7.583708342590443e-06
436.34 8.607578393988699e-06
437.34 8.42607934710771e-06
438.34 8.139308447603362e-06
439.34 9.368741753990497e-06
440.34 9.299644764766502e-06
441.34 8.465531827271872e-06
442.34 8.821177432248143e-06
443.34 8.664748012681645e-06
444.34 9.738495393608948e-06
445.34 9.031718640995914e-06
446.34 8.968533028134724e-06
447.34 8.895223733925775e-06
448.34 7.465161222414416e-06
449.34 9.081731062288133e-06
