wavelength transmittance
640.0 1.1087844465011904e-05
641.0 9.367346128384479e-06
642.0 1.1870540231852739e-05
643.0 1.582603116769482e-05
644.0 2.2159186843724634e-05
645.0 3.4757959467910686e-05
646.0 5.1723434173147785e-05
647.0 8.366109592226455e-05
648.0 0.00014638831280166004
649.0 0.0002934350674141135
650.0 0.0007986797329237785
651.0 0.003078356665297133
652.0 0.018558582560599137
653.0 0.12898369126502057
654.0 0.37425085788004936
655.0 0.5967992106229136
656.0 0.73553255574723
657.0 0.751641071848771
658.0 0.7509795209212938
659.0 0.7529090476771163
660.0 0.753824558834468
661.0 0.7545128144830368
662.0 0.7535186151948797
663.0 0.7515647617388733
664.0 0.7517103390683035
665.0 0.7525775428164826
666.0 0.7490398071738461
667.0 0.7306515398143735
668.0 0.5509971750763845
669.0 0.3190753602487485
670.0 0.09157140752975632
671.0 0.014009264085158157
672.0 0.0030900734850508207
673.0 0.00119134080731744
674.0 0.0006178546063041847
675.0 0.0003653383295043114
676.0 0.00023002617474524265
677.0 0.0001398746275670873
678.0 8.378945190475802e-05
679.0 4.947027052915032e-05
